Specimen Label 	OTU	ITS
A15_RH_mela_turkey_gire_saxi_6829            	A15	KR913222
A15_TRE_gigantea_UTEX2231_cult_AF242468      	A15	AF242468
A15_XA_meD1_usa_CO_saxi_197                  	A15	KR913223
A16_XA_caB1_canada_BC_terr_901               	A16	KR913224
A16_XA_caB1_canada_BC_terr_902               	A16	KR913225
A16_XA_caB1_canada_BC_terr_948               	A16	KR913226
A16_XA_caB1_usa_MT_terr_331                  	A16	KR913228
A16_XA_cuF1_usa_ID_saxi_452                  	A16	KR913229
A17_ORO_americanus_costarica_unk_cort_6713_IT	A17	KR913230
A17_ORO_colibor_costarica_unk_cort_6712      	A17	KR913231
A17_ORO_colibor_costarica_unk_cort_6714      	A17	KR913232
A17_ORO_loxensis_costarica_unk_cort_6705     	A17	KR913233
A17_ORO_unk_peru_unk_cort_1602               	A17	KR913235
A18_LEC_garov_usa_ID_saxi_109                	A18	KR913236
A18_LEC_garov_usa_UT_saxi_140                	A18	KR913237
A18_LEC_garov_usa_UT_saxi_142                	A18	KR913238
A18_LEC_mural_usa_UT_saxi_077                	A18	KR913239
A18_XA_chF2_usa_UT_terr_229                  	A18	KR913240
A19_PMT_per_CANAR_gome_cort_3742             	A19	KR913241
A19_PMT_per_CANAR_gome_cort_3743             	A19	KR913242
A19_PMT_per_CANAR_gome_cort_3744             	A19	KR913243
A19_PMT_per_CANAR_gome_cort_3745             	A19	KR913244
A19_PMT_per_CANAR_gome_cort_3752             	A19	KR913245
A20_2 XA maricopF2 usa AZ saxi 6701          	A20	KR913247
A20_3 XA meF2 usa AZ saxi 147                	A20	KR913248
A20_4 XA meF2 usa AZ saxi 152                	A20	KR913249
A20_XA_liD2_usa_NM_saxi_170                    	A20	KR913246
A21_XA_caB3_usa_ID_terr_334                  	A21	KR913250
A21_XA_caBM_usa_ID_terr_335                  	A21	KR913251
A21_XA_cuE1_usa_UT_saxi_003                  	A21	KR913252
A21_XA_cuE1_usa_UT_saxi_062                  	A21	KR913253
A22_XA_chE2_usa_UT_saxi_005                  	A22	KR913254
A22_XA_chE2_usa_UT_terr_007                  	A22	KR913255
A22_XA_chE2_usa_UT_terr_031                  	A22	KR913256
A23_TRE_showmanii_SAG2009_cult_FJ626734      	A23	FJ626734
A23_TRE_showmanii_UTEX2234_cult_AF242470     	A23	AF242470
A23_TshowmaniiUTEX2234                       	A23	FJ626734
A24_AF453259_Tarboricola                     	A24	AF453259
A24_ME_calif_usa_CA_cort_4088                	A24	KR913257
A24_ME_calif_usa_CA_cort_4089                	A24	KR913258
A25_XA_mariF2_usa_AZ_saxi_6698               	A25	KR913259
A25_XA_mariF2_usa_AZ_saxi_6703               	A25	KR913260
A26_XA_coE3_usa_UT_saxi_073                  	A26	KR913261
A26_XA_vaE2_usa_UT_terr_080                  	A26	KR913262
A27_XA_chE2_usa_WY_terr_111                  	A27	KR913263
A27_XA_chE3_usa_WY_terr_110                  	A27	KR913264
A28_9378                                     	A28	MT127647
A28_9668                                     	A28	MT127648
A28_XA_diA1_mex_PU_saxi_098                  	A28	KR913265
A29_A0B_L1739                                	A29	KJ754246
A29_L1141                                    	A29	KJ754245
A29_L1408_ITSp_USA_Alaska                    	A29	KJ754241
A29_MO_predis_japan_Shinano_saxi_8597        	A29	KR913266
A29_xA0B_L1661_culture_L1414_Sicily          	A29	KJ754243
A30_XA_cuE2_usa_UT_saxi_036                  	A30	KR913267
A31_XA_coE1_usa_UT_saxi_030                  	A31	KR913268
A32_XA_cuE1_usa_UT_saxi_075                  	A32	KR913269
A33_AJ249482_Tarboricola                     	A33	AJ249482
A33_AJ969549_Tdecolorans                     	A33	AJ969549
A33_L121IddXpFRoussillon                     	A33	AJ969550
A33_L1308_Trebouxia_BulgariaITS1T_4T         	A33	KJ754238
A33_TRE_decolorans_UTEXB781_FJ626728         	A33	FJ626728
A34_XA_mariF2_usa_AZ_saxi_6702               	A34	KR913270
A35_AJ969545_Tdecolorans                     	A35	AJ969545
A35_L1381_culture_of_L1107                   	A35	KJ754237
A35_L1383_culture_of_L1113                   	A35	KJ754240
A35_P120aIIIbXpFRoussillon                   	A35	AJ969545
A35_P121IIcdXpFRoussillon                    	A35	AJ969550
A36_L101XflZAWestcoast                       	A36	AJ969540
A37_L1107                                    	A37	KJ754236
A38_AJ293783_Trebouxia_Trinkaus356a__BuelGeor	A38	AJ293783
A38_AJ293789_Trebouxia_Mayrhofer13749_RinTuni	A38	AJ293789
A38_AJ431577_Trebouxia_B7                    	A38	AJ431577
A38_AJ431578_Trebouxia_B9                    	A38	AJ431578
A38_AJ431591_Trebouxia_B8                    	A38	AJ431591
A39_GU252182_TR9_Ramal_farin                 	A39	GU252182
A39_GU252197_TR9_Ramal_farin                 	A39	GU252197
A39_GU252200_TR9_Ramal_farin                 	A39	GU252200
A40_P10IaXspAUSTasmania                      	A40	AJ969515
A41_9517                                     	A41	MT127650
A42_9491                                     	A42	MT127651
A42_9492                                     	A42	MT127652
A42_9496                                     	A42	MT127653
A43_9392                                     	A43	MT127654
A43_9580                                     	A43	MT127655
A43_9633                                     	A43	MT127656
A44_9529                                     	A44	MT127657
A44_9636                                     	A44	MT127658
A44_9714                                     	A44	MT127659
A45_L174Bryoriasmithii                       	A45	KJ576675
A45_S65Bryoriasmithii                        	A45	KJ576675
A46_FJ792797_Trebouxia_TSV1_SeirophVillosa   	A46	FJ792797
A46_P280IIaScXpEMajorca                      	A46	AJ969583
A47_G9306XboGREENLAND                        	A47	AJ969505
A48_AJ969562_Tdecolorans                     	A48	AJ969562
A48_P104IIaXpECanaryIslands                  	A48	AJ969541
A48_P133IaXpAUSPortFairy                     	A48	AJ969551
A48_P288IaXspGRTilos                         	A48	AJ969587
A48_P303IIIaXspGRTilos                       	A48	AJ969589
A49_9493                                     	A49	MT127660
A50_L1382_culture_of_L1109                   	A50	KJ754239
A51_AM159210_Trebouxia_P400_aSc_XanthomendHas	A51	AM159210
A51_P69IaScXhaUSACalifornia                  	A51	AJ969534
C01_PMT_pse_CANAR_gome_cort_3730             	C01	KR913271
C02_PMT_per_CANAR_gome_cort_3751             	C02	KR913285
C03_9400                                     	C03	MT127661
C03_9540                                     	C03	MT127662
C03_AJ249573_Trebouxia_usneae_UTEX2235       	C03	AJ249573
C04_PMT_per_CANAR_gome_cort_3746             	C04	KR913286
C05_AJ249567_Trebouxia_galapagensis_UTEX2230 	C05	AJ249567
C06_XA_sa_uruguay_unk_saxi_540               	C06	KR913288
C07_AJ249574_Trebouxia_higginsiae_UTEX2232   	C07	AJ249574
C08_9537                                     	C08	MT127663
C09_9383                                     	C09	MT127664
C09_9386                                     	C09	MT127666
C09_9495                                     	C09	MT127690
C09_9600                                     	C09	MT127684
C10_9478                                     	C10	MT127691
C10_9484                                     	C10	MT127692
C10_9485                                     	C10	MT127693
C10_AB177833_Tcorticola                      	C10	AB177833
C10_AB177835_Tcorticola                      	C10	AB177835
C11_9515                                     	C11	MT127699
C12_9553                                     	C12	MT127700
C13_9391                                     	C13	MT127701
C13_9651                                     	C13	MT127702
C13_9721                                     	C13	MT127703
C14_9497                                     	C14	MT127704
C14_9571                                     	C14	MT127705
C14_9576                                     	C14	MT127706
C15_9604                                     	C15	MT127707
