TranscriptID	XBE1	XBC1	XBE2	XBC2	XSE2	XSC2	XTE2	XTC2
GTX0536PRED_000143-T1	3.472	2.571	3.374	3.159	1.209	1.59	2.869	2.359
GTX0536PRED_000144-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000145-T1	0	0	0	0	0.897	0.67	0.706	0
GTX0536PRED_000146-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000146-T2	0.026	0.07	0	0	0	0	0.041	0
GTX0536PRED_000146-T3	0	0	0	0	0.028	0.029	0	0.089
GTX0536PRED_000147-T1	1.133	1.283	1.548	1.665	1.394	1.943	1.87	1.122
GTX0536PRED_000148-T1	1.332	1.036	1.488	1.799	0.856	1.63	1.518	1.558
GTX0536PRED_000149-T1	2.332	1.583	2.264	1.863	1.216	0.813	1.155	1.656
GTX0536PRED_000150-T1	8.052	10.18	9.925	9.097	11.252	13.744	5.39	5.52
GTX0536PRED_000151-T1	1.951	2.62	2.451	1.805	1.395	1.538	1.607	1.311
GTX0536PRED_000152-T1	3.615	5.564	5.857	6.27	1.059	0.974	3.911	3.607
GTX0536PRED_000153-T1	7.785	7.386	8.311	5.675	4.248	5.054	7.832	4.977
GTX0536PRED_000154-T1	1.244	1.05	0.762	0.987	0.139	0.437	0.879	0.781
GTX0536PRED_000155-T1	0.184	0.118	0.321	0.115	0.137	0.032	0.132	0.194
GTX0536PRED_000156-T1	0.231	0.292	0.386	0.303	0.279	0.425	0.436	0.311
GTX0536PRED_000157-T1	1.695	1.572	2.348	1.245	0.363	0.394	1.536	1.526
GTX0536PRED_000157-T2	0	0.08	0.058	0.023	0	0	0.048	0.023
GTX0536PRED_000158-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000158-T2	1.695	1.264	2.235	1.388	1.837	2.665	1.987	1.722
GTX0536PRED_000159-T1	1.625	1.201	2.34	1.773	0.192	0.11	2.397	1.138
GTX0536PRED_000160-T1	1.488	1.532	1.323	0.741	0	0	1.134	1.009
GTX0536PRED_000160-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000161-T1	0.072	0.08	0	0	0	0	0	0
GTX0536PRED_000162-T1	0	0	0	0	0	0.074	0	0
GTX0536PRED_000163-T1	0.843	0.536	0.394	0.26	0.127	0.234	0.49	0.31
GTX0536PRED_000164-T1	0.834	0.93	0.6	0.446	0	0	0.823	0.482
GTX0536PRED_000165-T1	1.361	1.361	1.736	1.211	0.931	0.739	2.146	1.322
GTX0536PRED_000166-T1	2.074	2.185	1.748	2.222	0.532	0.784	1.344	1.095
GTX0536PRED_000167-T1	1.655	2.607	3.095	1.322	0.459	0.336	0.769	1.999
GTX0536PRED_000167-T2	0.321	0.582	0.27	0.286	0	0	0.28	0.22
GTX0536PRED_000167-T3	0	0	0	0	0	0	0	0
GTX0536PRED_000167-T4	0	0	0	0	0	0	0	0
GTX0536PRED_000168-T1	1.243	0.929	0.905	1.119	1.418	2.005	1.057	0.961
GTX0536PRED_000169-T1	4.331	4.609	6.317	7.097	0	0	3.261	2.165
GTX0536PRED_000170-T1	5.073	6.751	4.887	4.301	0	0	4.816	3.683
GTX0536PRED_000171-T1	4.156	4.772	3.124	4.385	3.192	4.032	5.857	3.281
GTX0536PRED_000172-T1	3.111	2.492	3.373	3.359	1.064	0.987	3.615	2.391
GTX0536PRED_000173-T1	0.128	0.301	0.203	0.228	0.807	1.268	0.067	0.038
GTX0536PRED_000174-T1	0.143	0.026	0.158	0.067	0.071	0.025	0.103	0.025
GTX0536PRED_000175-T1	1.997	3.783	1.835	2.161	1.546	2.183	1.305	1.493
GTX0536PRED_000175-T2	2.776	1.137	1.763	2.107	0	0	1.72	1.047
GTX0536PRED_000176-T1	2.016	1.881	3.576	2.044	1.616	1.88	3.361	2.76
GTX0536PRED_000177-T1	3.33	2.477	1.309	0.902	0	0	0.873	0.268
GTX0536PRED_000178-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000179-T1	0.811	0.782	1.835	0.422	0.997	0.785	3.797	1.79
GTX0536PRED_000180-T1	0.602	0.662	1.248	0.541	2.865	2.662	0.905	0.759
GTX0536PRED_000181-T1	1.228	0.798	0.944	0.907	0	0	1.238	0.973
GTX0536PRED_000181-T2	0.501	0.956	0.839	0.507	0.428	0.297	0.424	0.064
GTX0536PRED_000182-T1	1.364	1.27	1.3	1.422	0.494	0.956	2.111	1.816
GTX0536PRED_000183-T1	0	0	0	0	0	0	0	0
GTX0536PRED_000184-T1	0.314	0.455	0.897	0.589	0.156	0.343	0.444	0.617
GTX0536PRED_000184-T2	0	0	0	0	0	0	0	0
GTX0536PRED_000185-T1	0	0	0	0.098	0	0.055	0	0
GTX0536PRED_000186-T1	2.4	2.747	1.95	1.859	0.793	0.986	1.535	1.502
GTX0536PRED_000187-T1	2.047	3.067	3.037	1.877	0	0	0.39	0.226
